displayName,description,datatype,patientAttribute,priority,clinicalAttributeId,studyId
"Platform","Platform.","STRING",false,"1","PLATFORM","acbc_mskcc_2015"
"Primary Tumor Site","Text term to describe the organ sub-division in an individual with cancer.","STRING",false,"1","PRIMARY_SITE","acbc_mskcc_2015"
"PR status by ihc","Breast carcinoma progesterone receptor status","STRING",false,"1","PR_STATUS_BY_IHC","acbc_mskcc_2015"
"Radiation Therapy","Radiation therapy description","STRING",true,"1","RADIATION_THERAPY","acbc_mskcc_2015"
"Sample Type","""The type of sample (i.e., normal, primary, met, recurrence).""","STRING",false,"1","SAMPLE_TYPE","acbc_mskcc_2015"
"Sex","Sex","STRING",true,"1","SEX","acbc_mskcc_2015"
"Time to Metastasis (months)","Time to metastasis (months).","NUMBER",true,"1","TIME_TO_MET_MONTHS","acbc_mskcc_2015"
"Tumor Size","Tumor size.","STRING",false,"1","TUMOR_SIZE","acbc_mskcc_2015"
"Tumor Stage","Tumor stage.","STRING",false,"1","TUMOR_STAGE","acbc_mskcc_2015"
"Type of Surgery","Type of Surgery.","STRING",false,"1","TYPE_OF_SURGERY","acbc_mskcc_2015"
"Patient's Vital Status","The survival state of the person.","STRING",true,"1","VITAL_STATUS","acbc_mskcc_2015"
"Diagnosis Age","Age at which a condition or disease was first diagnosed.","NUMBER",true,"1","AGE","acc_tcga"
"Neoplasm Disease Stage American Joint Committee on Cancer Code","The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.","STRING",true,"1","AJCC_PATHOLOGIC_TUMOR_STAGE","acc_tcga"
"American Joint Committee on Cancer Publication Version Type","The version or edition of the American Joint Committee on Cancer Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of clinical staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.","STRING",true,"1","AJCC_STAGING_EDITION","acc_tcga"
"Atypical Mitotic Figures","Atypical Mitotic Figures","STRING",true,"1","ATYPICAL_MITOTIC_FIGURES","acc_tcga"
"Cancer Type","Cancer type","STRING",false,"1","CANCER_TYPE","acc_tcga"
"Cancer Type Detailed","Cancer type detailed","STRING",false,"1","CANCER_TYPE_DETAILED","acc_tcga"
"CAPSULAR INVASION","CAPSULAR INVASION","STRING",true,"1","CAPSULAR_INVASION","acc_tcga"
"Neoplasm American Joint Committee on Cancer Clinical Group Stage","Stage group determined from clinical information on the tumor (T), regional node (N) and metastases (M) and by grouping cases with similar prognosis for cancer.","STRING",true,"1","CLINICAL_STAGE","acc_tcga"
"Clinical Status Within 3 Mths Surgery","Clinical Status Within 3 Mths Surgery","STRING",true,"1","CLINICAL_STATUS_WITHIN_3_MTHS_SURGERY","acc_tcga"
"Neoplasm American Joint Committee on Cancer Clinical Distant Metastasis M Stage","Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.","STRING",true,"1","CLIN_M_STAGE","acc_tcga"
"Neoplasm American Joint Committee on Cancer Clinical Regional Lymph Node N Stage","Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.","STRING",true,"1","CLIN_N_STAGE","acc_tcga"
"Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage","Extent of the primary cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.","STRING",true,"1","CLIN_T_STAGE","acc_tcga"
"Ct scan preop results","Diagnostic ct result outcome","STRING",true,"1","CT_SCAN_PREOP_RESULTS","acc_tcga"
"Cytoplasm Presence Less Than Equal 25 Percent","Cytoplasm Presence Less Than Equal 25 Percent","STRING",true,"1","CYTOPLASM_PRESENCE_LESS_THAN_EQUAL_25_PERCENT","acc_tcga"
"Last Communication Contact from Initial Pathologic Diagnosis Date","Time interval from the date of last followup to the date of initial pathologic diagnosis, represented as a calculated number of days..","NUMBER",true,"1","DAYS_LAST_FOLLOWUP","acc_tcga"
"Birth from Initial Pathologic Diagnosis Date","Time interval from a person's date of birth to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_BIRTH","acc_tcga"
"Days to Sample Collection.","Days to sample collection.","NUMBER",false,"1","DAYS_TO_COLLECTION","acc_tcga"
"Death from Initial Pathologic Diagnosis Date","Time interval from a person's date of death to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_DEATH","acc_tcga"
"Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value","Time interval from the last day on which a person is known to be alive to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS","acc_tcga"
"Days to Sample Procurement","Days to sample procurement.","STRING",false,"1","DAYS_TO_SPECIMEN_COLLECTION","acc_tcga"
"Disease Free (Months)","Disease free (months) since initial treatment.","NUMBER",true,"1","DFS_MONTHS","acc_tcga"
"Disease Free Status","Disease free status since initial treatment.","STRING",true,"1","DFS_STATUS","acc_tcga"
"Diffuse Architecture","Diffuse Architecture","STRING",true,"1","DIFFUSE_ARCHITECTURE","acc_tcga"
"Disease code","Disease code","STRING",true,"1","DISEASE_CODE","acc_tcga"
"Ethnicity Category","The text for reporting information about ethnicity.","STRING",true,"1","ETHNICITY","acc_tcga"
"Lymphomatous Extranodal Site Involvement Indicator","Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.","STRING",true,"1","EXTRANODAL_INVOLVEMENT","acc_tcga"
"Form completion date","Form completion date","STRING",true,"1","FORM_COMPLETION_DATE","acc_tcga"
"Fraction Genome Altered","Fraction Genome Altered","NUMBER",false,"20","FRACTION_GENOME_ALTERED","acc_tcga"
"Neoplasm Histologic Type Name","Text term for the structural pattern of cancer cells used to define a microscopic diagnosis.","STRING",true,"1","HISTOLOGICAL_DIAGNOSIS","acc_tcga"
"Excess Adrenal Hormone History Type","Excess Adrenal Hormone History Type","STRING",true,"1","HISTORY_ADRENAL_HORMONE_EXCESS","acc_tcga"
"Excess Adrenal Hormone Diagnosis Method Type","Excess Adrenal Hormone Diagnosis Method Type","STRING",true,"1","HISTORY_BASIS_ADRENAL_HORMONE_DX","acc_tcga"
"Neoadjuvant Therapy Type Administered Prior To Resection Text","Text term to describe the patient's history of neoadjuvant treatment and the kind of treament given prior to resection of the tumor.","STRING",true,"1","HISTORY_NEOADJUVANT_TRTYN","acc_tcga"
"Prior Cancer Diagnosis Occurence","Text term to describe the patient's history of prior cancer diagnosis and the spatial location of any previous cancer occurrence.","STRING",true,"1","HISTORY_OTHER_MALIGNANCY","acc_tcga"
"ICD-10 Classification","10th revision of the International Statistical Classification of Diseases and Related Health Problems.","STRING",true,"1","ICD_10","acc_tcga"
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs.  In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains._A system of numbered categories for representation of data.","STRING",true,"1","ICD_O_3_HISTOLOGY","acc_tcga"
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Site Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The description of an anatomical region or of a body part._Named locations of, or within, the body._A system of numbered categories for representation of data.","STRING",true,"1","ICD_O_3_SITE","acc_tcga"
"Informed consent verified","Informed consent verified","STRING",true,"1","INFORMED_CONSENT_VERIFIED","acc_tcga"
"Year Cancer Initial Diagnosis","Numeric value to represent the year of an individual's initial pathologic diagnosis of cancer.","NUMBER",true,"1","INITIAL_PATHOLOGIC_DX_YEAR","acc_tcga"
"Initial Patient Weight","Weight measured in kilograms.","NUMBER",false,"1","INITIAL_WEIGHT","acc_tcga"
"Is FFPE","If the sample is from FFPE","STRING",false,"1","IS_FFPE","acc_tcga"
"Primary Tumor Laterality","For tumors in paired organs, designates the side on which the cancer originates.","STRING",true,"1","LATERALITY","acc_tcga"
"Longest Dimension","Longest Dimension","NUMBER",false,"1","LONGEST_DIMENSION","acc_tcga"
"Primary Lymph Node Presentation Assessment Ind-3","the yes/no/unknown indicator whether a lymph node assessment was performed at the primary presentation of disease.","STRING",true,"1","LYMPH_NODES_EXAMINED","acc_tcga"
"Positive Finding Lymph Node Hematoxylin and Eosin Staining Microscopy Count","Numeric value to signify the count of positive lymph nodes identified through hematoxylin and eosin (H&E) staining light microscopy.","NUMBER",true,"1","LYMPH_NODES_EXAMINED_HE_COUNT","acc_tcga"
"Lymph Node(s) Examined Number","The total number of lymph nodes removed and pathologically assessed for disease.","NUMBER",true,"1","LYMPH_NODE_EXAMINED_COUNT","acc_tcga"
"Metastatic Neoplasm Confirmed Diagnosis Method Name","Metastatic Neoplasm Confirmed Diagnosis Method Name","STRING",true,"1","METASTATIC_DX_CONFIRMED_BY","acc_tcga"
"Metastatic Neoplasm Confirmed Diagnosis Method Text","Metastatic Neoplasm Confirmed Diagnosis Method Text","STRING",true,"1","METASTATIC_DX_CONFIRMED_BY_OTHER","acc_tcga"
"Metastatic Site","The anatomic location to which the cancer has spread.","STRING",true,"1","METASTATIC_SITE","acc_tcga"
"First Pathologic Diagnosis Biospecimen Acquisition Method Type","Text name of the procedure to secure the tissue used for the original pathologic diagnosis.","STRING",false,"1","METHOD_OF_SAMPLE_PROCUREMENT","acc_tcga"
"Mitoses Count","Mitoses Count","NUMBER",true,"1","MITOSES_PER_50_HPF","acc_tcga"
"Mitotic Rate","Mitotic Rate","STRING",true,"1","MITOTIC_RATE","acc_tcga"
"Molecular Analysis Performed Indicator","Molecular Analysis Performed Indicator","STRING",true,"1","MOLECULAR_STUDIES_OTHERS_PERFORMED","acc_tcga"
"Mutation Count","Mutation Count","NUMBER",false,"30","MUTATION_COUNT","acc_tcga"
"Necrosis","Necrosis","STRING",true,"1","NECROSIS","acc_tcga"
"New Neoplasm Event Post Initial Therapy Indicator","Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.","STRING",true,"1","NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT","acc_tcga"
"Nuclear Grade III IV","Nuclear Grade III IV","STRING",true,"1","NUCLEAR_GRADE_III_IV","acc_tcga"
"Oct embedded","Oct embedded","STRING",false,"1","OCT_EMBEDDED","acc_tcga"
"Oncotree Code","Oncotree code","STRING",false,"1","ONCOTREE_CODE","acc_tcga"
"Overall Survival (Months)","Overall survival in months since initial diagonosis.","NUMBER",true,"1","OS_MONTHS","acc_tcga"
"Overall Survival Status","Overall patient survival status.","STRING",true,"1","OS_STATUS","acc_tcga"
"Specimen Collection Method","The type of procedure or method used to collect the specimen.","STRING",false,"1","OTHER_METHOD_OF_SAMPLE_PROCUREMENT","acc_tcga"
"Other Patient ID","Legacy DMP patient identifier (DMPnnnn)","STRING",true,"1","OTHER_PATIENT_ID","acc_tcga"
"Other Sample ID","Legacy DMP sample identifier (DMPnnnn)","STRING",false,"1","OTHER_SAMPLE_ID","acc_tcga"
"Pathology Report File Name","Pathology Report File Name","STRING",false,"1","PATHOLOGY_REPORT_FILE_NAME","acc_tcga"
"Pathology report uuid","Pathology report uuid","STRING",false,"1","PATHOLOGY_REPORT_UUID","acc_tcga"
"American Joint Committee on Cancer Metastasis Stage Code","Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).","STRING",true,"1","PATH_M_STAGE","acc_tcga"
"Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code","The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.","STRING",true,"1","PATH_N_STAGE","acc_tcga"
"American Joint Committee on Cancer Tumor Stage Code","Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).","STRING",true,"1","PATH_T_STAGE","acc_tcga"
"Adjuvant Postoperative Pharmaceutical Therapy Administered Indicator","Indicator to signify whether or not whether the patient had adjuvant/post-operative pharmaceutical therapy.","STRING",true,"1","PHARMACEUTICAL_TX_ADJUVANT","acc_tcga"
"Mitotane Therapy adjuvant setting","Mitotane Therapy Adjuvant Setting","STRING",true,"1","PHARM_TX_MITOTANE_ADJUVANT","acc_tcga"
"Mitotane Therapy for macroscopic residual disease","Mitotane Therapy For Macroscopic Residual Disease","STRING",true,"1","PHARM_TX_MITOTANE_FOR_MACRO_DISEASE","acc_tcga"
"Mitotane Therapy","Mitotane Therapy","STRING",true,"1","PHARM_TX_MITOTANE_INDICATOR","acc_tcga"
"Therapeutic Mitotane lvl progression","Therapeutic Mitotane Lvl Progression","STRING",true,"1","PHARM_TX_MITOTANE_THERAPUTIC_AT_PROG","acc_tcga"
"Therapeutic Mitotane lvl recurrence","Therapeutic Mitotane Lvl Recurrence","STRING",true,"1","PHARM_TX_MITOTANE_THERAPUTIC_AT_REC","acc_tcga"
"Therapeutic Mitotane levels achieved","Therapeutic Mitotane Levels Achieved","STRING",true,"1","PHARM_TX_MITOTANE_THERAPUTIC_LEVELS","acc_tcga"
"Therapeutic Mitotane lvl macroscopic residual","Therapeutic Mitotane Lvl Macroscopic Residual","STRING",true,"1","PHARM_TX_MITOTANE_THERAPUTIC_MACRO","acc_tcga"
"Project code","Project code","STRING",true,"1","PROJECT_CODE","acc_tcga"
"Tissue Prospective Collection Indicator","Text indicator for the time frame of tissue procurement, indicating that the tissue was procured in parallel to the project.","STRING",true,"1","PROSPECTIVE_COLLECTION","acc_tcga"
"Race Category","The text for reporting information about race.","STRING",true,"1","RACE","acc_tcga"
"Did patient start adjuvant postoperative radiotherapy?","A yes/no indicator that asks whether the patient started adjuvant postoperative radiotherapy.","STRING",true,"1","RADIATION_TREATMENT_ADJUVANT","acc_tcga"
"Surgical Margin Resection Status","Text terms to describe the status of a tissue margin following surgical resection.","STRING",true,"1","RESIDUAL_TUMOR","acc_tcga"
"RET","RET","STRING",true,"1","RET","acc_tcga"
"Tissue Retrospective Collection Indicator","Text indicator for the time frame of tissue procurement, indicating that the tissue was obtained and stored prior to the initiation of the project.","STRING",true,"1","RETROSPECTIVE_COLLECTION","acc_tcga"
"Sample Type","The type of sample (i.e., normal, primary, met, recurrence).","STRING",false,"1","SAMPLE_TYPE","acc_tcga"
"Sample type id","Sample type id","STRING",false,"1","SAMPLE_TYPE_ID","acc_tcga"
"SDHA","SDHA","STRING",true,"1","SDHA","acc_tcga"
"SDHAF2 SDH5","SDHAF2 SDH5","STRING",true,"1","SDHAF2_SDH5","acc_tcga"
"SDHB","SDHB","STRING",true,"1","SDHB","acc_tcga"
"SDHC","SDHC","STRING",true,"1","SDHC","acc_tcga"
"SDHD","SDHD","STRING",true,"1","SDHD","acc_tcga"
"Sex","Sex","STRING",true,"1","SEX","acc_tcga"
"Shortest Dimension","Shortest Dimension","NUMBER",false,"1","SHORTEST_DIMENSION","acc_tcga"
"Sinusoid Invasion","Sinusoid Invasion","STRING",true,"1","SINUSOID_INVASION","acc_tcga"
"Specimen Current Weight","The weight of the specimen.","STRING",false,"1","SPECIMEN_CURRENT_WEIGHT","acc_tcga"
"Specimen Freezing Means","The method used to freeze the tissue after removal from the patient.","STRING",false,"1","SPECIMEN_FREEZING_METHOD","acc_tcga"
"Specimen Second Longest Dimension","The second longest dimension of the specimen.","NUMBER",false,"1","SPECIMEN_SECOND_LONGEST_DIMENSION","acc_tcga"
"Stage Other","Stage Other","STRING",true,"1","STAGE_OTHER","acc_tcga"
"Time between clamping and freezing","Time between clamping and freezing","STRING",false,"1","TIME_BETWEEN_CLAMPING_AND_FREEZING","acc_tcga"
"Time between excision and freezing","Time between excision and freezing","STRING",false,"1","TIME_BETWEEN_EXCISION_AND_FREEZING","acc_tcga"
"Tissue Source Site","A Tissue Source Site collects samples (tissue, cell, or blood) and cliincal metadata which are then sent to tha Biospecimen Core Resource.","STRING",true,"1","TISSUE_SOURCE_SITE","acc_tcga"
"Tmem127","Tmem127","STRING",true,"1","TMEM127","acc_tcga"
"Primary Therapy Outcome Success Type","Text term for the measure of success of outcome after primary treatment (surgery and adjuvant therapies).","STRING",true,"1","TREATMENT_OUTCOME_FIRST_COURSE","acc_tcga"
"Person Neoplasm Status","The state or condition of an individual's neoplasm at a particular point in time.","STRING",true,"1","TUMOR_STATUS","acc_tcga"
"Tumor Disease Anatomic Site","Text term that describes the anatomic site of the tumor or disease.","STRING",true,"1","TUMOR_TISSUE_SITE","acc_tcga"
"Von Hippel-Lindau","Von Hippel-Lindau syndrome (VHL) is a hereditary condition associated with hemangioblastomas, which are blood vessel tumors of the brain, spinal cord, and eye.","STRING",true,"1","VHL","acc_tcga"
"Vial number","Vial number","STRING",false,"1","VIAL_NUMBER","acc_tcga"
"Patient's Vital Status","The survival state of the person.","STRING",true,"1","VITAL_STATUS","acc_tcga"
"Weiss Score Overall","Weiss Score Overall","STRING",true,"1","WEISS_SCORE_OVERALL","acc_tcga"
"Weiss Venous Invasion","Weiss Venous Invasion","STRING",true,"1","WEISS_VENOUS_INVASION","acc_tcga"
"Diagnosis Age","Age at which a condition or disease was first diagnosed.","NUMBER",true,"1","AGE","acc_tcga_pan_can_atlas_2018"
"Neoplasm Disease Stage American Joint Committee on Cancer Code","The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.","STRING",true,"1","AJCC_PATHOLOGIC_TUMOR_STAGE","acc_tcga_pan_can_atlas_2018"
"American Joint Committee on Cancer Publication Version Type","The version or edition of the American Joint Committee on Cancer Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of clinical staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.","STRING",true,"1","AJCC_STAGING_EDITION","acc_tcga_pan_can_atlas_2018"
"Aneuploidy Score","Aneuploidy Score","NUMBER",false,"1","ANEUPLOIDY_SCORE","acc_tcga_pan_can_atlas_2018"
"Cancer Type","Cancer Type","STRING",false,"1","CANCER_TYPE","acc_tcga_pan_can_atlas_2018"
"TCGA PanCanAtlas Cancer Type Acronym","Text field to hold cancer type acronym used by TCGA PanCanAtlas.","STRING",true,"1","CANCER_TYPE_ACRONYM","acc_tcga_pan_can_atlas_2018"
"Cancer Type Detailed","Cancer Type Detailed","STRING",false,"1","CANCER_TYPE_DETAILED","acc_tcga_pan_can_atlas_2018"
"Center of sequencing","Center of sequencing","STRING",true,"1","CENTER","acc_tcga_pan_can_atlas_2018"
"Last Communication Contact from Initial Pathologic Diagnosis Date","Time interval from the date of last followup to the date of initial pathologic diagnosis, represented as a calculated number of days..","NUMBER",true,"1","DAYS_LAST_FOLLOWUP","acc_tcga_pan_can_atlas_2018"
"Birth from Initial Pathologic Diagnosis Date","Time interval from a person's date of birth to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_BIRTH","acc_tcga_pan_can_atlas_2018"
"Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value","Time interval from the last day on which a person is known to be alive to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS","acc_tcga_pan_can_atlas_2018"
"Ethnicity Category","The text for reporting information about ethnicity.","STRING",true,"1","ETHNICITY","acc_tcga_pan_can_atlas_2018"
"Form completion date","Form completion date","STRING",true,"1","FORM_COMPLETION_DATE","acc_tcga_pan_can_atlas_2018"
"Fraction Genome Altered","Fraction Genome Altered","NUMBER",false,"20","FRACTION_GENOME_ALTERED","acc_tcga_pan_can_atlas_2018"
"Person Gender","Patient gender.","STRING",true,"1","GENDER","acc_tcga_pan_can_atlas_2018"
"Neoplasm Histologic Grade","Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.","STRING",false,"1","GRADE","acc_tcga_pan_can_atlas_2018"
"Neoadjuvant Therapy Type Administered Prior To Resection Text","Text term to describe the patient's history of neoadjuvant treatment and the kind of treatment given prior to resection of the tumor.","STRING",true,"1","HISTORY_NEOADJUVANT_TRTYN","acc_tcga_pan_can_atlas_2018"
"ICD-10 Classification","10th revision of the International Statistical Classification of Diseases and Related Health Problems.","STRING",true,"1","ICD_10","acc_tcga_pan_can_atlas_2018"
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs.  In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains._A system of numbered categories for representation of data.","STRING",true,"1","ICD_O_3_HISTOLOGY","acc_tcga_pan_can_atlas_2018"
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Site Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The description of an anatomical region or of a body part._Named locations of, or within, the body._A system of numbered categories for representation of data.","STRING",true,"1","ICD_O_3_SITE","acc_tcga_pan_can_atlas_2018"
"Informed consent verified","Informed consent verified","STRING",true,"1","INFORMED_CONSENT_VERIFIED","acc_tcga_pan_can_atlas_2018"
"In PanCan Pathway Analysis","Patient Part of PanCan Pathway Analysis","STRING",true,"1","IN_PANCANPATHWAYS_FREEZE","acc_tcga_pan_can_atlas_2018"
"Mutation Count","Mutation Count","NUMBER",false,"30","MUTATION_COUNT","acc_tcga_pan_can_atlas_2018"
"New Neoplasm Event Post Initial Therapy Indicator","Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.","STRING",true,"1","NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT","acc_tcga_pan_can_atlas_2018"
"Oncotree Code","Oncotree Code","STRING",false,"1","ONCOTREE_CODE","acc_tcga_pan_can_atlas_2018"
"Other Patient ID","Legacy DMP patient identifier (DMPnnnn)","STRING",true,"1","OTHER_PATIENT_ID","acc_tcga_pan_can_atlas_2018"
"American Joint Committee on Cancer Metastasis Stage Code","Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).","STRING",true,"1","PATH_M_STAGE","acc_tcga_pan_can_atlas_2018"
"Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code","The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.","STRING",true,"1","PATH_N_STAGE","acc_tcga_pan_can_atlas_2018"
"American Joint Committee on Cancer Tumor Stage Code","Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).","STRING",true,"1","PATH_T_STAGE","acc_tcga_pan_can_atlas_2018"
"Person Neoplasm Cancer Status","Person neoplasm cancer status.","STRING",true,"1","PERSON_NEOPLASM_CANCER_STATUS","acc_tcga_pan_can_atlas_2018"
"Primary Lymph Node Presentation Assessment","Primary lymph node presentation assessment.","STRING",true,"1","PRIMARY_LYMPH_NODE_PRESENTATION_ASSESSMENT","acc_tcga_pan_can_atlas_2018"
"Prior Diagnosis","Prior diagnosis.","STRING",true,"1","PRIOR_DX","acc_tcga_pan_can_atlas_2018"
"Race Category","The text for reporting information about race.","STRING",true,"1","RACE","acc_tcga_pan_can_atlas_2018"
"Radiation Therapy","Radiation Therapy.","STRING",true,"1","RADIATION_THERAPY","acc_tcga_pan_can_atlas_2018"
"10p Status","Chromosome Arm-Calls: 10p","STRING",false,"1","STATUS_10P","acc_tcga_pan_can_atlas_2018"
"10q Status","Chromosome Arm-Calls: 10q","STRING",false,"1","STATUS_10Q","acc_tcga_pan_can_atlas_2018"
"11p Status","Chromosome Arm-Calls: 11p","STRING",false,"1","STATUS_11P","acc_tcga_pan_can_atlas_2018"
"11q Status","Chromosome Arm-Calls: 11q","STRING",false,"1","STATUS_11Q","acc_tcga_pan_can_atlas_2018"
"12p Status","Chromosome Arm-Calls: 12p","STRING",false,"1","STATUS_12P","acc_tcga_pan_can_atlas_2018"
"12q Status","Chromosome Arm-Calls: 12q","STRING",false,"1","STATUS_12Q","acc_tcga_pan_can_atlas_2018"
"13 (13q) Status","Chromosome Arm-Calls: 13 (13q)","STRING",false,"1","STATUS_13_13Q","acc_tcga_pan_can_atlas_2018"
"14 (14q) Status","Chromosome Arm-Calls: 14 (14q)","STRING",false,"1","STATUS_14_14Q","acc_tcga_pan_can_atlas_2018"
"15 (15q) Status","Chromosome Arm-Calls: 15 (15q)","STRING",false,"1","STATUS_15_15Q","acc_tcga_pan_can_atlas_2018"
"16p Status","Chromosome Arm-Calls: 16p","STRING",false,"1","STATUS_16P","acc_tcga_pan_can_atlas_2018"
"16q Status","Chromosome Arm-Calls: 16q","STRING",false,"1","STATUS_16Q","acc_tcga_pan_can_atlas_2018"
