type_of_cancer_id	name
emchs	Extraskeletal Myxoid Chondrosarcoma
empd	Extramammary Paget Disease
empsgc	Endocrine Mucin Producing Sweat Gland Carcinoma
emyoca	Epithelial-Myoepithelial Carcinoma
encg	Encapsulated Glioma
enkl	Extranodal NK-/T-Cell Lymphoma, Nasal Type
eov	Endometrioid Ovarian Cancer
ep	Extraosseous Plasmacytoma
epdca	Esophageal Poorly Differentiated Carcinoma
epis	Epithelioid Sarcoma
epm	Ependymoma
epmt	Ependymomal Tumor
erms	Embryonal Rhabdomyosarcoma
es	Ewing Sarcoma
esca	Esophageal Adenocarcinoma
escc	Esophageal Squamous Cell Carcinoma
esmm	Mucosal Melanoma of the Esophagus
ess	Endometrial Stromal Sarcoma
esst	Ewing Sarcoma of Soft Tissue
et	Essential Thrombocythemia
etantr	Embryonal Tumor with Abundant Neuropil and True Rosettes
etmf	Essential Thrombocythemia Myelofibrosis
etpll	Early T-Cell Precursor Lymphoblastic Leukemia
ett	Epithelioid Trophoblastic Tumor
evn	Extraventricular Neurocytoma
eye	Eye
fa	Fibroadenoma
fdcs	Follicular Dendritic Cell Sarcoma
fhptld	Florid Follicular Hyperplasia PTLD
fhrcc	FH-Deficient Renal Cell Carcinoma
fibs	Fibrosarcoma
fios	Fibroblastic Osteosarcoma
fl	Follicular Lymphoma
flc	Fibrolamellar Carcinoma
frct	Fibroblastic Reticular Cell Tumor
ft	Fibrothecoma
ftcl	Follicular T-Cell Lymphoma
gb	Glioblastoma
gbad	Gallbladder Adenocarcinoma, NOS
gbasc	Adenosquamous Carcinoma of the Gallbladder
gbc	Gallbladder Cancer
gbm	Glioblastoma Multiforme
gcb	Germinal Center B-Cell Type
gccap	Goblet Cell Carcinoid of the Appendix
gcemu	Gastric Type Mucinous Carcinoma
gclc	Giant Cell Carcinoma of the Lung
gct	Granular Cell Tumor
gctb	Giant Cell Tumor of Bone
gej	Adenocarcinoma of the Gastroesophageal Junction
ghcd	Gamma Heavy-Chain Disease
ginet	Gastrointestinal Neuroendocrine Tumors
ginetes	Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach
gist	Gastrointestinal Stromal Tumor
gmn	Germinoma
gn	Ganglioneuroma
gnbl	Ganglioneuroblastoma
gnc	Gangliocytoma
gng	Ganglioglioma
gnos	Glioma, NOS
grc	Gastric Remnant Adenocarcinoma
grct	Granulosa Cell Tumor
gs	Glomangiosarcoma
gsarc	Gliosarcoma
gtd	Gestational Trophoblastic Disease
hcc	Hepatocellular Carcinoma
hccihch	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma
hcl	Hairy Cell Leukemia
hcl-v	Hairy Cell Leukemia-Variant
hdcn	Histiocytic and Dendritic Cell Neoplasms
hdcs	Histiocytic Dendritic Cell Sarcoma
head_neck	Head and Neck
hema	Hemangioma
hgbcl	High-Grade B-Cell Lymphoma, NOS
hgbclmycbcl2	High-Grade B-Cell Lymphoma, with MYC and BCL2 and/or BCL6 Rearrangements
hgess	High-Grade Endometrial Stromal Sarcoma
hggnos	High-Grade Glioma, NOS
hgnec	High-Grade Neuroendocrine Carcinoma of the Colon and Rectum
hgnee	High-Grade Neuroendocrine Carcinoma of the Esophagus
hgnes	High-Grade Neuroendocrine Carcinoma of the Stomach
hgnet	High-Grade Neuroepithelial Tumor
hgonec	High-Grade Neuroendocrine Carcinoma of the Ovary
hgsft	High-Grade Serous Fallopian Tube Cancer
hgsoc	High-Grade Serous Ovarian Cancer
hgsos	High-Grade Surface Osteosarcoma
hhv8dlbcl	HHV8 Positive DLBCL, NOS
hl	Hodgkin Lymphoma
hmbl	Hemangioblastoma
hnmasc	Mammary Analogue Secretory Carcinoma of Salivary Gland Origin
hnmucm	Head and Neck Mucosal Melanoma
hnne	Head and Neck Neuroendocrine Carcinoma
hnsc	Head and Neck Squamous Cell Carcinoma
hnscup	Head and Neck Squamous Cell Carcinoma of Unknown Primary
hpccns	Hemangiopericytoma of the Central Nervous System
hphsc	Hypopharynx Squamous Cell Carcinoma
hs	Histiocytic Sarcoma
hstcl	Hepatosplenic T-cell Lymphoma
htat	Hyalinizing Trabecular Adenoma of the Thyroid
hvll	Hydroa Vacciniforme Like Lymphoproliferative Disorder
iampca	Intestinal Ampullary Carcinoma
ibc	Inflammatory Breast Cancer
icemu	Intestinal Type Mucinous Carcinoma
idc	Breast Invasive Ductal Carcinoma
idcs	Interdigitating Dendritic Cell Sarcoma
idct	Indeterminate Dendritic Cell Tumor
ifs	Infantile Fibrosarcoma
ihch	Intrahepatic Cholangiocarcinoma
ihm	Invasive Hydatidiform Mole
ilc	Breast Invasive Lobular Carcinoma
immc	Breast Invasive Mixed Mucinous Carcinoma
imptld	Infectious Mononucleosis PTLD
ims	Myofibromatosis
imt	Inflammatory Myofibroblastic Tumor
imtb	Inflammatory Myofibroblastic Bladder Tumor
imtl	Inflammatory Myofibroblastic Lung Tumor
ints	Intimal Sarcoma
ipmn	Intraductal Papillary Mucinous Neoplasm
isfn	In Situ Follicular Neoplasia
ism	Indolent Systemic Mastocytosis
ismcl	In Situ Mantle Cell Neoplasia
istad	Intestinal Type Stomach Adenocarcinoma
itlpdgi	Indolent T-Cell Lymphoproliferative Disorder of the GI Tract
iup	Inverted Urothelial Papilloma
ivbcl	Intravascular Large B-Cell Lymphoma
jmml	Juvenile Myelomonocytic Leukemia
jscb	Juvenile Secretory Carcinoma of the Breast
jxg	Disseminated Juvenile Xanthogranuloma
kidney	Kidney
lais	Lung Adenocarcinoma In Situ
lam	Pulmonary Lymphangiomyomatosis
latl	Lymphoid Atypical
lbgn	Lymphoid Benign
lblirf4	Large B-Cell Lymphoma with IRF4 Rearrangement
lch	Langerhans Cell Histiocytosis
lcis	Breast Lobular Carcinoma In Situ
lclc	Large Cell Lung Carcinoma
lcs	Langerhans Cell Sarcoma
ldchl	Lymphocyte-Depleted Classical Hodgkin Lymphoma
ldd	Dysplastic Gangliocytoma of the Cerebellum/Lhermitte-Duclos Disease
leclc	Lymphoepithelioma-like Carcinoma of the Lung
lgcos	Low-Grade Central Osteosarcoma
lgess	Low-Grade Endometrial Stromal Sarcoma
lgfms	Low-Grade Fibromyxoid Sarcoma
lggnos	Low-Grade Glioma, NOS
lgnet	Low-Grade Neuroepithelial Tumor
lgsoc	Low-Grade Serous Ovarian Cancer
liad	Hepatocellular Adenoma
lias	Liver Angiosarcoma
lihb	Hepatoblastoma
limnet	Malignant Nonepithelial Tumor of the Liver
lipo	Liposarcoma
liver	Liver
lms	Leiomyosarcoma
lnet	Lung Neuroendocrine Tumor
lnm	Lymphoid Neoplasm
lpl	Lymphoplasmacytic Lymphoma
lrchl	Lymphocyte-Rich Classical Hodgkin Lymphoma
luacc	Adenoid Cystic Carcinoma of the Lung
luad	Lung Adenocarcinoma
luas	Lung Adenosquamous Carcinoma
luca	Lung Carcinoid
lumec	Mucoepidermoid Carcinoma of the Lung
lune	Large Cell Neuroendocrine Carcinoma
lung	Lung
lupc	Pleomorphic Carcinoma of the Lung
lusc	Lung Squamous Cell Carcinoma
lxsc	Larynx Squamous Cell Carcinoma
lyg	Lymphomatoid Granulomatosis
lymph	Lymphoid
lyp	Lymphomatoid Papulosis
maap	Mucinous Adenocarcinoma of the Appendix
mac	Microcystic Adnexal Carcinoma
macr	Mucinous Adenocarcinoma of the Colon and Rectum
mampca	Mixed Ampullary Carcinoma
masc	Metaplastic Adenosquamous Carcinoma
mascc	Metaplastic Adenocarcinoma with Spindle Cell Differentiation
matpl	Myeloid Atypical
mbc	Metaplastic Breast Cancer
mben	Medulloblastoma with Extensive Nodularity
mbgn	Myeloid Benign
mbl	Medulloblastoma
mbn	Mature B-Cell Neoplasms
mbov	Mucinous Borderline Ovarian Tumor
mbt	Miscellaneous Brain Tumor
mcbcl	Monoclonal B-Cell Lymphocytosis
mcc	Merkel Cell Carcinoma
mcce	Mixed Cervical Carcinoma
mcchl	Mixed Cellularity Classical Hodgkin Lymphoma
mcd	Mastocytosis
mchs	Mesenchymal Chondrosarcoma
mchscns	Mesenchymal Chondrosarcoma of the CNS
mcl	Mantle Cell Lymphoma
mcn	Mucinous Cystic Neoplasm
mcs	Metaplastic Carcinosarcoma
mcsl	Mast Cell Sarcoma
mdep	Medulloepithelioma
mdlc	Breast Mixed Ductal and Lobular Carcinoma
mds	Myelodysplastic Syndromes
mds/mpn	Myelodysplastic/Myeloproliferative Neoplasms
mdseb	MDS with Excess Blasts
mdseb1	MDS with excess blasts-1
mdseb2	MDS with excess blasts-2
mdsid5q	MDS with Isolated Del(5q)
mdsmd	MDS with Multilineage Dysplasia
mdsmpnrst	MDS/MPN with Ring Sideroblasts and Thrombocytosis
mdsmpnu	MDS/MPN, Unclassifiable
mdsrs	MDS with Ring Sideroblasts
mdsrsmd	MDS with Ring Sideroblasts and Multilineage Dysplasia
mdsrssld	MDS with Ring Sideroblasts and Single Lineage Dysplasia
mdssld	MDS with Single Lineage Dysplasia
mdsu	MDS, Unclassifiable
meatl	Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma
mel	Melanoma
melc	Melanocytoma
mf	Myofibroma
mfh	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
mfs	Myxofibrosarcoma
mgct	Mixed Germ Cell Tumor
mgst	Malignant Glomus Tumor
mgus	Monoclonal Gammopathy of Undetermined Significance
mgusiga	IgA
mgusigg	IgG
mgusigm	IgM
mhcd	Mu Heavy-Chain Disease
midd	Monoclonal Immunoglobulin Deposition Diseases
midda	Amyloidosis
middo	Monoclonal Immunoglobulin Deposition Diseases, Other
mixed	Mixed Cancer Types
mlads	Myeloid Leukemia Associated with Down Syndrome
mlner	Myeloid/Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA/PDGFRB or FGFR1 or with PCM1-JAK2
mlnfgfr1	Myeloid/Lymphoid Neoplasms with FGFR1 Rearrangement
mlnpcm1jak2	Myeloid/Lymphoid Neoplasms with PCM1-JAK2
mlnpdgfra	Myeloid/Lymphoid Neoplasms with PDGFRA Rearrangement
mlnpdgfrb	Myeloid/Lymphoid Neoplasms with PDGFRB Rearrangement
mlym	Malignant Lymphoma
mmb	Medullomyoblastoma
mmbc	Mixed Type Metaplastic Breast Cancer
mmbl	Melanotic Medulloblastoma
mnet	Miscellaneous Neuroepithelial Tumor
mng	Meningioma
mnglp	Myeloid Neoplasms with Germ Line Predisposition
mngt	Meningothelial Tumor
mnm	Myeloid Neoplasm
mov	Mucinous Ovarian Cancer
mp	Molar Pregnancy
mpalbcrabl1	Mixed Phenotype Acute Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1
mpalbnos	Mixed Phenotype Acute Leukemia, B/Myeloid, NOS
mpalkmt2a	Mixed Phenotype Acute Leukemia with t(v;11q23.3); KMT2A Rearranged
mpaltnos	Mixed Phenotype Acute Leukemia, T/Myeloid, NOS
mpc	Myopericytoma
mpe	Myxopapillary Ependymoma
mpn	Myeloproliferative Neoplasms
mpnst	Malignant Peripheral Nerve Sheath Tumor
mpnu	Myeloproliferative Neoplasms, Unclassifiable
mprds	Myeloid Proliferations Related to Down Syndrome
mpt	Malignant Phyllodes Tumor of the Breast
mptld	Monomorphic PTLD (B- and T-/NK-cell types)
mrc	Renal Medullary Carcinoma
mrls	Myxoid/Round-Cell Liposarcoma
mrt	Rhabdoid Cancer
mrtl	Malignant Rhabdoid Tumor of the Liver
ms	Myeloid Sarcoma
mscc	Metaplastic Squamous Cell Carcinoma
mschw	Melanotic Schwannoma
mstad	Mucinous Stomach Adenocarcinoma
mt	Malignant Tumor
mtnn	Mature T and NK Neoplasms
mtscc	Renal Mucinous Tubular Spindle Cell Carcinoma
mucc	Mucoepidermoid Carcinoma
mup	Melanoma of Unknown Primary
mxov	Mixed Ovarian Carcinoma
mycf	Mycosis Fungoides
mychs	Myxoid Chondrosarcoma
myec	Myoepithelial Carcinoma
myeloid	Myeloid
myxo	Myxoma
mzl	Marginal Zone Lymphoma
nbl	Neuroblastoma
nccrcc	Renal Non-Clear Cell Carcinoma
necnos	Neuroendocrine Carcinoma, NOS
netnos	Neuroendocrine Tumor, NOS
nfib	Neurofibroma
nhl	Non-Hodgkin Lymphoma
nkcll	Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma
nlphl	Nodular Lymphocyte-Predominant Hodgkin Lymphoma
nmchn	NUT Midline Carcinoma of the Head and Neck
nmzl	Nodal Marginal Zone Lymphoma
npc	Nasopharyngeal Carcinoma
nptltfh	Nodal Peripheral T-Cell Lymphoma with TFH Phenotype
nschl	Nodular Sclerosis Classical Hodgkin Lymphoma
nsclc	Non-Small Cell Lung Cancer
nsclcpd	Poorly Differentiated Non-Small Cell Lung Cancer
nsgct	Non-Seminomatous Germ Cell Tumor
nst	Nerve Sheath Tumor
oast	Oligoastrocytoma
oat	Oncocytic Adenoma of the Thyroid
ocnos	Ovarian Choriocarcinoma, NOS
ocs	Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor
ocsc	Oral Cavity Squamous Cell Carcinoma
odg	Oligodendroglioma
odgc	Odontogenic Carcinoma
odys	Dysgerminoma
oec	Embryonal Carcinoma
ofmt	Ossifying Fibromyxoid Tumor
ogbl	Gonadoblastoma
ogct	Ovarian Germ Cell Tumor
ohnca	Head and Neck Carcinoma, Other
oimt	Immature Teratoma
om	Ocular Melanoma
omgct	Mixed Germ Cell Tumor
omt	Mature Teratoma
onbl	Olfactory Neuroblastoma
oovc	Ovarian Cancer, Other
ope	Polyembryoma
ophsc	Oropharynx Squamous Cell Carcinoma
os	Osteosarcoma
osaca	Salivary Carcinoma, Other
osgct	Osteoclastic Giant Cell Tumor
osmad	Ovarian Seromucinous Adenoma
osmbt	Ovarian Seromucinous Borderline Tumor
osmca	Ovarian Seromucinous Carcinoma
osos	Osteoblastic Osteosarcoma
other	Other
ousarc	Uterine Sarcoma, Other
outt	Other Uterine Tumor
ovary	Ovary/Fallopian Tube
ovt	Ovarian Epithelial Tumor
oyst	Yolk Sac Tumor
paac	Acinar Cell Carcinoma of the Pancreas
paad	Pancreatic Adenocarcinoma
paasc	Adenosquamous Carcinoma of the Pancreas
pact	Cystic Tumor of the Pancreas
pampca	Pancreatobiliary Ampullary Carcinoma
pancreas	Pancreas
panet	Pancreatic Neuroendocrine Tumor
paos	Parosteal Osteosarcoma
past	Pilocytic Astrocytoma
pb	Pancreatoblastoma
pbl	Pineoblastoma
pbs	Breast Sarcoma
pbt	Primary Brain Tumor
pcaectcl	Primary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma
pcalcl	Primary Cutaneous Anaplastic Large Cell Lymphoma
pcatcl	Primary Cutaneous Acral CD8 Positive T-Cell Lymphoma
pcfcl	Primary Cutaneous Follicle Center Lymphoma
pcgdtcl	Primary Cutaneous Gamma Delta T-Cell Lymphoma
pcgp	Craniopharyngioma, Papillary Type
pclbcllt	Primary Cutaneous DLBCL, Leg Type
pclpd	Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders
pcm	Plasma Cell Myeloma
pcnsl	Primary DLBCL of the central nervous system
pcnsm	Primary CNS Melanoma
pcnsmt	Primary CNS Melanocytic Tumors
pcsmtpld	Primary Cutaneous CD4 Positive Small/Medium T-Cell Lymphoproliferative Disorder
pct	Porphyria Cutania Tarda
pd	Paget Disease of the Nipple
pdc	Poorly Differentiated Carcinoma, NOS
pecoma	Perivascular Epithelioid Cell Tumor
pel	Primary Effusion Lymphoma
pemeso	Peritoneal Mesothelioma
penis	Penis
peos	Periosteal Osteosarcoma
peritoneum	Peritoneum
perl	Pure Erythroid Leukemia
pgng	Paraganglioma
pgnt	Papillary Glioneuronal Tumor
phc	Pheochromocytoma
phch	Perihilar Cholangiocarcinoma
phm	Partial Hydatidiform Mole
phptld	Plasmacytic Hyperplasia PTLD
pinc	Pineocytoma
pint	Pineal Tumor
plbl	Plasmablastic Lymphoma
plbmeso	Pleural Mesothelioma, Biphasic Type
plemeso	Pleural Mesothelioma, Epithelioid Type
pleura	Pleura
plls	Pleomorphic Liposarcoma
plmeso	Pleural Mesothelioma
plrms	Pleomorphic Rhabdomyosarcoma
plsmeso	Pleural Mesothelioma, Sarcomatoid Type
pma	Pilomyxoid Astrocytoma
pmbl	Primary Mediastinal (Thymic) Large B-Cell Lymphoma
pmf	Primary Myelofibrosis
pmfofs	Primary Myelofibrosis,Overt Fibrotic Stage
pmfpes	Primary Myelofibrosis, Prefibrotic/Early Stage
pmhe	Pseudomyogenic Hemangioendothelioma
pnet	Primitive Neuroectodermal Tumor
pns	Peripheral Nervous System
poca	Porocarcinoma/Spiroadenocarcinoma
poro	Poroma/Acrospiroma
ppb	Pleuropulmonary Blastoma
ppct	Proliferating Pilar Cystic Tumor
ppm	Papillary Meningioma
pptid	Pineal Parenchymal Tumor of Intermediate Differentiation
pptld	Polymorphic PTLD
prad	Prostate Adenocarcinoma
prcc	Papillary Renal Cell Carcinoma
prne	Prostate Neuroendocrine Carcinoma
prnet	Primary Neuroepithelial Tumor
prostate	Prostate
