cancer_study_id	name	description
lgg_tcga	Brain Lower Grade Glioma (TCGA, Provisional)	TCGA Brain Lower Grade Glioma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/LGG/20160128/gdac.broadinstitute.org_LGG.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
brca_metabric	Breast Cancer (METABRIC, Nature 2012 & Nat Commun 2016)	The genomic profiles (somatic mutations [targeted sequencing], copy number alterations, and gene expression) of 2509 breast cancers.
breast_msk_2018	Breast Cancer (MSK, Cancer Cell 2018)	Targeted Sequencing of 1918 tumor and patient-matched normals.
bfn_duke_nus_2015	Breast Fibroepithelial Tumors (Duke-NUS, Nat Genet 2015)	Whole exome sequencing of 22 phyllodes tumors
brca_bccrc	Breast Invasive Carcinoma (British Columbia, Nature 2012)	Comprehensive profiling of 65 breast cancer samples. Generated by the British Columbia Cancer Research Centre.
brca_broad	Breast Invasive Carcinoma (Broad, Nature 2012)	Comprehensive profiling of 103 breast cancer samples. Generated by the Broad Institute.
brca_sanger	Breast Invasive Carcinoma (Sanger, Nature 2012)	Comprehensive profiling of 100 breast cancer samples. Generated by the Sanger Institute.
brca_tcga_pub2015	Breast Invasive Carcinoma (TCGA, Cell 2015)	<a href="http://cancergenome.nih.gov/">The Cancer Genome Atlas (TCGA)</a> Breast Invasive Carcinoma project. 817 cases (TCGA Cell 2015).
brca_tcga_pub	Breast Invasive Carcinoma (TCGA, Nature 2012)	<a href="http://cancergenome.nih.gov/">The Cancer Genome Atlas (TCGA)</a> Breast Invasive Carcinoma project. 825 cases.<br><i>Nature 2012.</i> <a href="https://tcga-data.nci.nih.gov/docs/publications/brca_2012/">Raw data via the TCGA Data Portal</a>.
brca_tcga_pan_can_atlas_2018	Breast Invasive Carcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
brca_tcga	Breast Invasive Carcinoma (TCGA, Provisional)	TCGA Breast Invasive Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/BRCA/20160128/gdac.broadinstitute.org_BRCA.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
brca_bccrc_xenograft_2014	Breast cancer patient xenografts (British Columbia, Nature 2014)	Dynamics of genomic clones in breast cancer patient xenografts.
cellline_ccle_broad	Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)	Cancer Cell Line Encyclopedia from the Broad Institute and Novartis, containing 1020 samples.
cesc_tcga_pan_can_atlas_2018	Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
cesc_tcga	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA, Provisional)	TCGA Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/CESC/20160128/gdac.broadinstitute.org_CESC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
chol_nccs_2013	Cholangiocarcinoma (National Cancer Centre of Singapore, Nat Genet 2013)	Exome sequencing of 15 cholangiocarcinoma cases from the National Cancer Centre of Singapore to study the somatic mutations.
chol_nus_2012	Cholangiocarcinoma (National University of Singapore, Nat Genet 2012)	Exome Sequencing for Opisthorchis viverrini-related cholangiocarcinoma in 8 O.viverrini-related tumors and matched normal tissue.
chol_tcga_pan_can_atlas_2018	Cholangiocarcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
chol_tcga	Cholangiocarcinoma (TCGA, Provisional)	TCGA Cholangiocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/CHOL/20160128/gdac.broadinstitute.org_CHOL.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
lcll_broad_2013	Chronic Lymphocytic Leukemia (Broad, Cell 2013)	Exome sequencing of 160 CLL samples. Generated by the Broad Institute.
cll_iuopa_2015	Chronic Lymphocytic Leukemia (IUOPA, Nature 2015)	Mutation data from whole-genome or whole-exome sequencing (WGS/WXS) of 428 CLL, 54 MBL, and 24 SLL samples.
cllsll_icgc_2011	Chronic lymphocytic leukemia (ICGA, Nat 2011)	Exome Sequencing of CLL samples.
ccrcc_utokyo_2013	Clear Cell Renal Cell Carcinoma (U Tokyo, Nat Genet 2013)	Mutation data from whole genome and/or whole exome sequencing of 106 clear-cell renal cell carcinoma samples.
coad_tcga_pan_can_atlas_2018	Colon Adenocarcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
coadread_dfci_2016	Colorectal Adenocarcinoma (DFCI, Cell Reports 2016)	Whole-exome sequencing of 619 colorectal cancers with clinicopathologic annotations.
coadread_genentech	Colorectal Adenocarcinoma (Genentech, Nature 2012)	Comprehensive profiling of 72 colon cancer samples. Generated by Genentech.
coadread_tcga_pub	Colorectal Adenocarcinoma (TCGA, Nature 2012)	<a href="http://cancergenome.nih.gov/">The Cancer Genome Atlas (TCGA)</a> Colorectal Cancer project. <br><i>Nature 2012.</i> <a href="https://tcga-data.nci.nih.gov/docs/publications/coadread_2012/">Raw data via the TCGA Data Portal</a>.
coadread_tcga	Colorectal Adenocarcinoma (TCGA, Provisional)	TCGA Colorectal Adenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/COADREAD/20160128/gdac.broadinstitute.org_COADREAD.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
coadread_mskcc	Colorectal Adenocarcinoma Triplets (MSKCC, Genome Biol 2014)	Colon Trios data from 69 Patients each with a  primary and metastatic tumor. (Primary / Met) (David Solit / Evi Vakiani / Michael Berger, MSKCC)
cscc_hgsc_bcm_2014	Cutaneous Squamous Cell Carcinoma (MD Anderson, Clin Cancer Res 2014)	Whole-exome sequencing of 39 cases aggressive cutaneous squamous cell carcinoma.
ctcl_columbia_2015	Cutaneous T Cell Lymphoma (Columbia U, Nat Genet 2015)	Whole-Exome Sequencing (WXS) of tumor-normal sample pairs from 25 patients with Sezary Syndrome and 17 patients with other Cutaneous T Cell Lymphoma (CTCLs).
cscc_dfarber_2015	Cutaneous squamous cell carcinoma (DFCI, Clin Cancer Res 2015)	Targeted sequencing of 504 cancer-associated genes in 29 cutaneous squamous cell carcinoma samples
pact_jhu_2011	Cystic Tumor of the Pancreas (Johns Hopkins, PNAS 2011	Whole-exome sequencing of major neoplastic cyst types of the pancreas: 8 serous cystadenomas (SCAs), 8 intraductal papillary mucinous neoplasms (IPMNs), 8 mucinous cystic neoplasms (MCNs), and 8 solid pseudopapillary neoplasms (SPNs).
desm_broad_2015	Desmoplastic Melanoma (Broad Institute, Nat Genet 2015)	Mutation data from Exome/Whole Genome sequencing of 20 desmoplastic melanoma cases.
dlbcl_dfci_2018	Diffuse Large B cell Lymphoma (DFCI, Nat Med 2018)	Whole-exome sequencing of tumor/matching normal sample pairs from 135 DLBCL patients.
dlbc_broad_2012	Diffuse Large B-Cell Lymphoma (Broad, PNAS 2012)	Whole exome sequencing of 58 DLBCL samples.
dlbcl_duke_2017	Diffuse Large B-Cell Lymphoma (Duke, Cell 2017)	Genomic profiling of 1,001 DLBCL patients, mutations reported in only 150 driver genes.
dlbc_tcga_pan_can_atlas_2018	Diffuse Large B-Cell Lymphoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
nhl_bcgsc_2013	Diffuse Large B-cell Lymphoma (BCGSC, Blood 2013)	Whole genome sequencing analysis of 40 DLBCL tumors and 13 cell lines.
ucec_msk_2018	Endometrial Cancer (MSK, 2018)	Clinical Utility Of Prospective Molecular Characterization In Advanced Endometrial Cancer
esca_broad	Esophageal Adenocarcinoma (Broad, Nat Genet 2013)	Comprehensive profiling of 149 esophageal adenocarcinoma samples from the Broad Institute.
esca_tcga_pan_can_atlas_2018	Esophageal Adenocarcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
esca_tcga	Esophageal Carcinoma (TCGA, Provisional)	TCGA Esophageal Carcinoma ; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/ESCA/20160128/gdac.broadinstitute.org_ESCA.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
escc_icgc	Esophageal Squamous Cell Carcinoma (ICGC, Nature 2014)	WGS and WES of 88 esophageal squamous cell carcinoma samples. Generated by ICGC.
escc_ucla_2014	Esophageal Squamous Cell Carcinoma (UCLA, Nat Genet 2014)	Whole exome sequencing (WXS) or targeted deep sequencing (TDS) of 139 paired esophageal squamous cell carcinoma patients.
es_iocurie_2014	Ewing Sarcoma (Institut Cuire, Cancer Discov 2014)	Mutation data from whole-genome sequencing of 112 Ewing sarcoma samples and matched germ line DNA. <a href="http://cancerdiscovery.aacrjournals.org/content/4/11/1342/suppl/DC1">
gbc_shanghai_2014	Gallbladder Carcinoma (Shanghai, Nat Genet 2014)	Mutation data from whole exome sequencing of 32 gallbladder carcinoma tumors with paired normals
egc_tmucih_2015	Gastric Adenocarcinoma (TMUCIH, PNAS 2015)	Whole-exome sequencing on 78 Gastric Adenocarcinoma of differing histologies and anatomic locations
nsclc_unito_2016	Genetic Characterization of NSCLC young adult patients ( University of Turin, Lung Cancer 2016)	The retrospective study using NGS approach for genetic characterization of NSCLC young adult patients
prad_cpcg_2017	Genomic Hallmarks of Prostate Adenocarcinoma (CPC-GENE, Nature 2017)	Comprehensive genomic profiling of 477 Prostate Adenocarcinoma samples from CPC-GENE and public data sets, including TCGA-PRAD.
gct_msk_2016	Genomic Profile of Patients with Advanced Germ Cell Tumors (MSK, JCO 2016).	Comprehensive profiling of 180 germ cell tumor samples.
gbm_tcga_pub2013	Glioblastoma (TCGA, Cell 2013)	<a href="http://cancergenome.nih.gov/">The Cancer Genome Atlas (TCGA)</a> Glioblastoma project.<br> <a href="http://tcga-data.nci.nih.gov/tcga/">Raw data via the TCGA Data Portal</a>.
gbm_tcga_pub	Glioblastoma (TCGA, Nature 2008)	<a href="http://cancergenome.nih.gov/">The Cancer Genome Atlas (TCGA)</a> Glioblastoma project. 206 primary glioblastoma samples.<br> <a href="https://tcga-data.nci.nih.gov/docs/publications/gbm_2008/">Raw data via the TCGA Data Portal</a>.
gbm_tcga_pan_can_atlas_2018	Glioblastoma Multiforme (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
gbm_tcga	Glioblastoma Multiforme (TCGA, Provisional)	TCGA Glioblastoma Multiforme; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/GBM/20160128/gdac.broadinstitute.org_GBM.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
hnsc_broad	Head and Neck Squamous Cell Carcinoma (Broad, Science 2011)	Comprehensive profiling of 74 head and neck squamous cell carcinoma samples from the Broad Institute.
hnsc_jhu	Head and Neck Squamous Cell Carcinoma (Johns Hopkins, Science 2011)	Comprehensive profiling of 32 head and neck squamous cell carcinoma samples from Johns Hopkins.
hnsc_tcga_pub	Head and Neck Squamous Cell Carcinoma (TCGA, Nature 2015)	TCGA Head and Neck Squamous Cell Carcinoma, containing 279 samples; raw data at the <A HREF="https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=HNSC&diseaseName=Head and Neck Squamous Cell Carcinoma">NCI</A>.
hnsc_tcga_pan_can_atlas_2018	Head and Neck Squamous Cell Carcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
hnsc_tcga	Head and Neck Squamous Cell Carcinoma (TCGA, Provisional)	TCGA Head and Neck Squamous Cell Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/HNSC/20160128/gdac.broadinstitute.org_HNSC.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
liad_inserm_fr_2014	Hepatocellular Adenoma (Inserm, Cancer Cell 2014)	Mutation data from whole-exome sequencing (WXS) of 46 liver tumor and corresponding nontumor DNA.
hcc_inserm_fr_2015	Hepatocellular Carcinomas (Inserm, Nat Genet 2015)	Mutation data from whole-exome sequencing (WXS) of 243 liver tumors identified mutational signatures associated with specific risk factors.
all_stjude_2013	Hypodiploid Acute Lymphoid Leukemia (St Jude, Nat Genet 2013)	Exome sequencing of 44 ALL samples.
all_stjude_2015	Infant MLL-Rearranged Acute Lymphoblastic Leukemia (St Jude, Nat Genet 2015)	Whole genome sequencing (WGS) of 22 infant MLL-rearranged acute lymphoblastic leukemia (MLL-R ALL) cases
panet_shanghai_2013	Insulinoma (Shanghai, Nat Commun 2013)	Whole exome sequencing of 10 benign insulinoma tumors. <A HREF="http://www.nature.com/ncomms/2013/131210/ncomms3810/extref/ncomms3810-s1.pdf">
chol_jhu_2013	Intrahepatic Cholangiocarcinoma (Johns Hopkins University, Nat Genet 2013)	Exome Sequencing of 32 intrahepatic cholangiocarcinoma cases and 8 gall bladder carcinoma cases.
kich_tcga_pub	Kidney Chromophobe (TCGA, Cancer Cell 2014)	TCGA Kidney Chromophobe; raw data at the <A HREF="https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=KICH&diseaseName=Kidney Chromophobe">NCI</A>.
kich_tcga_pan_can_atlas_2018	Kidney Chromophobe (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
kich_tcga	Kidney Chromophobe (TCGA, Provisional)	TCGA Kidney Chromophobe; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/KICH/20160128/gdac.broadinstitute.org_KICH.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
kirc_bgi	Kidney Renal Clear Cell Carcinoma (BGI, Nat Genet 2012)	Comprehensive sequencing of 98 clear cell kidney cancer samples. Generated by BGI-Shenzhen.
kirc_tcga_pub	Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)	TCGA Kidney Renal Clear Cell Carcinoma, containing 499 samples; raw data at the <A HREF="https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=KIRC&diseaseName=Kidney Renal Clear Cell Carcinoma">NCI</A>.
kirc_tcga_pan_can_atlas_2018	Kidney Renal Clear Cell Carcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
kirc_tcga	Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)	TCGA Kidney Renal Clear Cell Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/KIRC/20160128/gdac.broadinstitute.org_KIRC.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
kirp_tcga_pan_can_atlas_2018	Kidney Renal Papillary Cell Carcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
kirp_tcga	Kidney Renal Papillary Cell Carcinoma (TCGA, Provisional)	TCGA Kidney Renal Papillary Cell Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/KIRP/20160128/gdac.broadinstitute.org_KIRP.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
lihc_amc_prv	Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)	Liver Hepatocellular Carcinoma from Asan Medical Center, Korea, containing 231 samples.
lihc_riken	Liver Hepatocellular Carcinoma (RIKEN, Nat Genet 2012)	Whole-genome sequencing of 27 hepatocellular carcinoma samples from RIKEN.
lihc_tcga_pan_can_atlas_2018	Liver Hepatocellular Carcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
lihc_tcga	Liver Hepatocellular Carcinoma (TCGA, Provisional)	TCGA Liver Hepatocellular Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/LIHC/20160128/gdac.broadinstitute.org_LIHC.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
lgg_ucsf_2014	Low-Grade Gliomas (UCSF, Science 2014).	Mutation data from whole exome sequencing of 23 grade II glioma patients.
luad_broad	Lung Adenocarcinoma (Broad, Cell 2012)	Comprehensive profiling of 183 lung adenocarcinoma samples. Generated by the Broad Institute.
luad_mskcc_2015	Lung Adenocarcinoma (MSKCC 2015)	Whole-exome sequencing of non small cell lung cancers treated with pembrolizumab
luad_tcga_pub	Lung Adenocarcinoma (TCGA, Nature 2014)	TCGA Lung Adenocarcinoma, containing 230 samples; raw data at the <A HREF="https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=LUAD&diseaseName=Lung Adenoarcinoma">NCI</A>.
luad_tcga_pan_can_atlas_2018	Lung Adenocarcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
luad_tcga	Lung Adenocarcinoma (TCGA, Provisional)	TCGA Lung Adenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/LUAD/20160128/gdac.broadinstitute.org_LUAD.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
luad_tsp	Lung Adenocarcinoma (TSP, Nature 2008)	Targeted sequencing of 163 lung adenocarcinoma samples. Generated by WashU/Broad.
lusc_tcga_pub	Lung Squamous Cell Carcinoma (TCGA, Nature 2012)	<a href="http://cancergenome.nih.gov/">The Cancer Genome Atlas (TCGA)</a> Lung Squamous Cell Carcinoma project. 178 cases.<br><i>Nature 2012.</i> <a href="https://tcga-data.nci.nih.gov/docs/publications/lusc_2012/">Raw data via the TCGA Data Portal</a>.
lusc_tcga_pan_can_atlas_2018	Lung Squamous Cell Carcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
lusc_tcga	Lung Squamous Cell Carcinoma (TCGA, Provisional)	TCGA Lung Squamous Cell Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/LUSC/20160128/gdac.broadinstitute.org_LUSC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
dlbc_tcga	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma (TCGA, Provisional)	TCGA Lymphoid Neoplasm Diffuse Large B-cell Lymphoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/DLBC/20160128/gdac.broadinstitute.org_DLBC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
msk_impact_2017	MSK-IMPACT Clinical Sequencing Cohort (MSKCC, Nat Med 2017)	Targeted sequencing of 10,000 clinical cases using the MSK-IMPACT assay
lung_msk_2017	MSK-IMPACT Clinical Sequencing Cohort for Non-Small Cell Cancer (MSK, Cancer Discovery 2017)	Prospective molecular characterization of lung adenocarcinomas for efficient patient matching.
