category,name,description,sampleListId,studyId
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (81 samples)","all_phase2_target_2018_pub_3way_complete","all_phase2_target_2018_pub"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM27)","All samples with methylation (HM27) data (149 samples)","all_phase2_target_2018_pub_methylation_hm27","all_phase2_target_2018_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced samples (44 samples)","all_stjude_2013_sequenced","all_stjude_2013"
"all_cases_in_study","All Tumors","All tumor samples (44 samples)","all_stjude_2013_all","all_stjude_2013"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (83 samples)","all_stjude_2015_sequenced","all_stjude_2015"
"all_cases_in_study","All Tumors","All tumor samples (93 samples)","all_stjude_2015_all","all_stjude_2015"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (73 samples)","all_stjude_2016_sequenced","all_stjude_2016"
"all_cases_in_study","All Tumors","All tumor samples (73 samples)","all_stjude_2016_all","all_stjude_2016"
"other","INDUCTION FAILURE - DISCOVERY cohort","All tumors in INDUCTION FAILURE - DISCOVERY cohort (59 samples)","aml_target_2018_pub_induction_failure_discovery","aml_target_2018_pub"
"other","VALIDATION cohort","All tumors in VALIDATION cohort (513 samples)","aml_target_2018_pub_validation","aml_target_2018_pub"
"all_cases_in_study","All tumors","All tumor samples (1025 samples)","aml_target_2018_pub_all","aml_target_2018_pub"
"other","DISCOVERY cohort","All tumors in DISCOVERY cohort (453 samples)","aml_target_2018_pub_discovery","aml_target_2018_pub"
"all_cases_with_mutation_data","All Sequenced Tumors","All Sequenced tumors (160 Samples)","ampca_bcm_2016_sequenced","ampca_bcm_2016"
"all_cases_in_study","All Tumors","All tumor samples (160 samples)","ampca_bcm_2016_all","ampca_bcm_2016"
"other","All sequenced samples","All sequenced samples(48 samples)","angs_project_painter_2018_sequenced","angs_project_painter_2018"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (48 samples)","angs_project_painter_2018_cnaseq","angs_project_painter_2018"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (48 samples)","angs_project_painter_2018_cna","angs_project_painter_2018"
"all_cases_in_study","All Tumors","All tumor samples (48 samples)","angs_project_painter_2018_all","angs_project_painter_2018"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (22 samples)","bfn_duke_nus_2015_sequenced","bfn_duke_nus_2015"
"all_cases_in_study","All Tumors","All tumor samples (22 samples)","bfn_duke_nus_2015_all","bfn_duke_nus_2015"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (99 samples)","blca_bgi_sequenced","blca_bgi"
"all_cases_in_study","All Tumors","All tumor samples (103 samples)","blca_bgi_all","blca_bgi"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (72 samples)","blca_cornell_2016_sequenced","blca_cornell_2016"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (72 samples)","blca_cornell_2016_cnaseq","blca_cornell_2016"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (72 samples)","blca_cornell_2016_cna","blca_cornell_2016"
"all_cases_in_study","All Tumors","All tumor samples (72 samples)","blca_cornell_2016_all","blca_cornell_2016"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (53 samples)","blca_cornell_2016_log2CNA","blca_cornell_2016"
"all_cases_with_mutation_data","All Sequenced Tumors","All sequenced tumor samples (50 samples)","blca_dfarber_mskcc_2014_sequenced","blca_dfarber_mskcc_2014"
"all_cases_in_study","All Tumors","All tumor samples (50 samples)","blca_dfarber_mskcc_2014_all","blca_dfarber_mskcc_2014"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced samples (97 samples)","blca_mskcc_solit_2012_sequenced","blca_mskcc_solit_2012"
"all_cases_with_mutation_and_cna_data","Tumors with sequencing and CNA data","All tumor samples that have CNA and sequencing data (97 samples)","blca_mskcc_solit_2012_cna_seq","blca_mskcc_solit_2012"
"all_cases_with_cna_data","Tumors CNA","All tumors with CNA data (97 samples)","blca_mskcc_solit_2012_cna","blca_mskcc_solit_2012"
"all_cases_in_study","All Tumors","All tumor samples (97 samples)","blca_mskcc_solit_2012_all","blca_mskcc_solit_2012"
"all_cases_with_mrna_array_data","Tumors with mRNA data (Agilent microarray)","All samples with mRNA expression data (58 samples)","blca_mskcc_solit_2012_mrna","blca_mskcc_solit_2012"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (58 samples)","blca_mskcc_solit_2012_3way_complete","blca_mskcc_solit_2012"
"all_cases_with_methylation_data","Tumors with methylation data (HM27)","All samples with methylation (HM27) data (24 samples)","blca_mskcc_solit_2012_methylation_hm27","blca_mskcc_solit_2012"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (109 samples)","blca_mskcc_solit_2014_sequenced","blca_mskcc_solit_2014"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (109 samples)","blca_mskcc_solit_2014_cnaseq","blca_mskcc_solit_2014"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (109 samples)","blca_mskcc_solit_2014_cna","blca_mskcc_solit_2014"
"all_cases_in_study","All Tumors","All tumor samples (109 samples)","blca_mskcc_solit_2014_all","blca_mskcc_solit_2014"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (109 samples)","blca_mskcc_solit_2014_log2CNA","blca_mskcc_solit_2014"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (104 samples)","blca_nmibc_2017_sequenced","blca_nmibc_2017"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (103 samples)","blca_nmibc_2017_cnaseq","blca_nmibc_2017"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (105 samples)","blca_nmibc_2017_cna","blca_nmibc_2017"
"all_cases_in_study","All Tumors","All tumor samples (105 samples)","blca_nmibc_2017_all","blca_nmibc_2017"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (34 samples)","blca_plasmacytoid_mskcc_2016_sequenced","blca_plasmacytoid_mskcc_2016"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (33 samples)","blca_plasmacytoid_mskcc_2016_cnaseq","blca_plasmacytoid_mskcc_2016"
"all_cases_in_study","All Tumors","All tumor samples (34 samples)","blca_plasmacytoid_mskcc_2016_all","blca_plasmacytoid_mskcc_2016"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (33 samples)","blca_plasmacytoid_mskcc_2016_cna","blca_plasmacytoid_mskcc_2016"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (434 samples)","blca_tcga_methylation_hm450","blca_tcga"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (413 samples)","blca_tcga_methylation_all","blca_tcga"
"all_cases_with_mutation_data","All Seq Tumors","All seq tumor samples (238 samples)","blca_tcga_sequenced","blca_tcga"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (127 samples)","blca_tcga_cnaseq","blca_tcga"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (408 samples)","blca_tcga_cna","blca_tcga"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (408 samples)","blca_tcga_rna_seq_v2_mrna","blca_tcga"
"all_cases_in_study","All Tumors","All tumor samples (778 samples)","blca_tcga_all","blca_tcga"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (126 samples)","blca_tcga_3way_complete","blca_tcga"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (344 samples)","blca_tcga_rppa","blca_tcga"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (410 samples)","blca_tcga_pan_can_atlas_2018_sequenced","blca_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (406 samples)","blca_tcga_pan_can_atlas_2018_cnaseq","blca_tcga_pan_can_atlas_2018"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (408 samples)","blca_tcga_pan_can_atlas_2018_cna","blca_tcga_pan_can_atlas_2018"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (407 samples)","blca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","blca_tcga_pan_can_atlas_2018"
"all_cases_in_study","All Tumors","All tumor samples (411 samples)","blca_tcga_pan_can_atlas_2018_all","blca_tcga_pan_can_atlas_2018"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (408 samples)","blca_tcga_pan_can_atlas_2018_log2CNA","blca_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (402 samples)","blca_tcga_pan_can_atlas_2018_3way_complete","blca_tcga_pan_can_atlas_2018"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (131 samples)","blca_tcga_pub_methylation_hm450","blca_tcga_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (130 samples)","blca_tcga_pub_sequenced","blca_tcga_pub"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (127 samples)","blca_tcga_pub_cnaseq","blca_tcga_pub"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (128 samples)","blca_tcga_pub_cna","blca_tcga_pub"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (129 samples)","blca_tcga_pub_rna_seq_v2_mrna","blca_tcga_pub"
"all_cases_in_study","All Tumors","All tumor samples (158 samples)","blca_tcga_pub_all","blca_tcga_pub"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (125 samples)","blca_tcga_pub_3way_complete","blca_tcga_pub"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (120 samples)","blca_tcga_pub_rppa","blca_tcga_pub"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (434 samples)","blca_tcga_pub_2017_methylation_hm450","blca_tcga_pub_2017"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (434 samples)","blca_tcga_pub_2017_methylation_all","blca_tcga_pub_2017"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (412 samples)","blca_tcga_pub_2017_sequenced","blca_tcga_pub_2017"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (408 samples)","blca_tcga_pub_2017_cnaseq","blca_tcga_pub_2017"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (408 samples)","blca_tcga_pub_2017_cna","blca_tcga_pub_2017"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (408 samples)","blca_tcga_pub_2017_rna_seq_v2_mrna","blca_tcga_pub_2017"
"all_cases_in_study","All Tumors","All tumor samples (842 samples)","blca_tcga_pub_2017_all","blca_tcga_pub_2017"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (404 samples)","blca_tcga_pub_2017_3way_complete","blca_tcga_pub_2017"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (344 samples)","blca_tcga_pub_2017_rppa","blca_tcga_pub_2017"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced samples (65 samples)","brca_bccrc_sequenced","brca_bccrc"
"all_cases_in_study","All Tumors","All tumor samples (65 samples)","brca_bccrc_all","brca_bccrc"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (116 samples)","brca_bccrc_xenograft_2014_sequenced","brca_bccrc_xenograft_2014"
"all_cases_in_study","All Tumors","All tumor samples (117 samples)","brca_bccrc_xenograft_2014_all","brca_bccrc_xenograft_2014"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (30 samples)","brca_bccrc_xenograft_2014_log2CNA","brca_bccrc_xenograft_2014"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (103 samples)","brca_broad_sequenced","brca_broad"
"all_cases_in_study","All Tumors","All tumor samples (103 samples)","brca_broad_all","brca_broad"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (213 samples)","brca_igr_2015_sequenced","brca_igr_2015"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (213 samples)","brca_igr_2015_cnaseq","brca_igr_2015"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (216 samples)","brca_igr_2015_cna","brca_igr_2015"
"all_cases_in_study","All Tumors","All tumor samples (218 samples)","brca_igr_2015_all","brca_igr_2015"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (157 samples)","brca_mbcproject_wagle_2017_sequenced","brca_mbcproject_wagle_2017"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (157 samples)","brca_mbcproject_wagle_2017_cnaseq","brca_mbcproject_wagle_2017"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (157 samples)","brca_mbcproject_wagle_2017_cna","brca_mbcproject_wagle_2017"
"all_cases_in_study","All Tumors","All tumor samples (157 samples)","brca_mbcproject_wagle_2017_all","brca_mbcproject_wagle_2017"
"other","Samples in Pereira et al., Nat Commun 2016","Samples profiled in Pereira et al., Nat Commun 2016","brca_metabric_2016","brca_metabric"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (2369 samples)","brca_metabric_sequenced","brca_metabric"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (2051 samples)","brca_metabric_cnaseq","brca_metabric"
"other","Samples in Curtis et al., Nature 2012","Samples profiled in Curtis et al., Nature 2012","brca_metabric_2012","brca_metabric"
"other","All samples in Curtis et al., Nature 2012 and/or Pereira et al., Nat Commun 2016","Samples profiled in Curtis et al., Nature 2012 and/or Pereira et al., Nat Commun 2016","brca_metabric_all","brca_metabric"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (2173 samples)","brca_metabric_cna","brca_metabric"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (100 samples)","brca_sanger_sequenced","brca_sanger"
"all_cases_in_study","All Tumors","All tumor samples (103 samples)","brca_sanger_all","brca_sanger"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (885 samples)","brca_tcga_methylation_hm450","brca_tcga"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (788 samples)","brca_tcga_methylation_all","brca_tcga"
"other","Protein Quantification (Mass Spec)","All samples with mass spec protein quantification data","brca_tcga_protein_quantification","brca_tcga"
"all_cases_with_mutation_data","All Sequenced Tumors","All sequenced tumor samples (993 Samples)","brca_tcga_sequenced","brca_tcga"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (963 samples)","brca_tcga_cnaseq","brca_tcga"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (1080 samples)","brca_tcga_cna","brca_tcga"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (1100 samples)","brca_tcga_rna_seq_v2_mrna","brca_tcga"
"all_cases_in_study","All Tumors","All tumor samples (2140 samples)","brca_tcga_all","brca_tcga"
"all_cases_with_mrna_array_data","Tumor Samples with mRNA data (Agilent microarray)","All samples with mRNA expression data (529 samples)","brca_tcga_mrna","brca_tcga"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (960 samples)","brca_tcga_3way_complete","brca_tcga"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (938 samples)","brca_tcga_rppa","brca_tcga"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM27)","All samples with methylation (HM27) data (343 samples)","brca_tcga_methylation_hm27","brca_tcga"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (1066 samples)","brca_tcga_pan_can_atlas_2018_sequenced","brca_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (996 samples)","brca_tcga_pan_can_atlas_2018_cnaseq","brca_tcga_pan_can_atlas_2018"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (1070 samples)","brca_tcga_pan_can_atlas_2018_cna","brca_tcga_pan_can_atlas_2018"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (1082 samples)","brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","brca_tcga_pan_can_atlas_2018"
"all_cases_in_study","All Tumors","All tumor samples (1084 samples)","brca_tcga_pan_can_atlas_2018_all","brca_tcga_pan_can_atlas_2018"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (1070 samples)","brca_tcga_pan_can_atlas_2018_log2CNA","brca_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (994 samples)","brca_tcga_pan_can_atlas_2018_3way_complete","brca_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced samples (507 samples)","brca_tcga_pub_sequenced","brca_tcga_pub"
"all_cases_with_mutation_and_cna_data","Tumors with sequencing and CNA data","All tumor samples that have CNA and sequencing data (482 samples)","brca_tcga_pub_cnaseq","brca_tcga_pub"
"all_cases_with_cna_data","Tumors CNA","All tumors with CNA data (778 samples)","brca_tcga_pub_cna","brca_tcga_pub"
"other","PAM50 Luminal B","PAM50 Luminal B subtype (133 samples)","brca_tcga_pub_lumb","brca_tcga_pub"
"other","PAM50 Basal","Basal subtype (81 samples)","brca_tcga_pub_basal","brca_tcga_pub"
"other","PAM50 Claudin low","PAM50 Claudin low subtype (8 samples)","brca_tcga_pub_claudin","brca_tcga_pub"
"other","PAM50 Luminal A","PAM50 Luminal A subtype (235 samples)","brca_tcga_pub_luma","brca_tcga_pub"
"all_cases_with_microrna_data","Tumors with microRNA data (microRNA-Seq)","All samples with microRNA data (302 samples)","brca_tcga_pub_microrna","brca_tcga_pub"
"all_cases_in_study","All Tumors","All tumor samples (825 samples)","brca_tcga_pub_all","brca_tcga_pub"
"all_cases_with_mrna_array_data","Tumors with mRNA data (Agilent microarray)","All samples with mRNA expression data (526 samples)","brca_tcga_pub_mrna","brca_tcga_pub"
"all_cases_with_log2_cna_data","Tumors log2 copy-number","All tumors with log2 copy-number data (778 samples)","brca_tcga_pub_log2CNA","brca_tcga_pub"
"other","Complete samples (mutations, copy-number, expression)","Samples with complete data (463 samples)","brca_tcga_pub_complete","brca_tcga_pub"
"all_cases_with_rppa_data","Tumors with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (410 samples)","brca_tcga_pub_rppa","brca_tcga_pub"
"other","PAM50 Her2 enriched","PAM50 Her2 enriched subtype (58 samples)","brca_tcga_pub_her2","brca_tcga_pub"
"all_cases_with_methylation_data","Tumors with methylation data","All samples with methylation (HM27) data (311 samples)","brca_tcga_pub_methylation_hm27","brca_tcga_pub"
"other","Luminal (A/B)","Luminal (A/B) subtype (324 samples)","brca_tcga_pub_luminal","brca_tcga_pub"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (553 samples)","brca_tcga_pub2015_methylation_hm450","brca_tcga_pub2015"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (817 samples)","brca_tcga_pub2015_methylation_all","brca_tcga_pub2015"
"other","Invasive Lobular Cancer","Invasive Lobular Breast Tumors (127 samples)","brca_tcga_pub2015_ilc","brca_tcga_pub2015"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (817 samples)","brca_tcga_pub2015_sequenced","brca_tcga_pub2015"
