molecularAlterationType,datatype,name,description,showProfileInAnalysisTab,molecularProfileId,studyId
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"acc_tcga_pan_can_atlas_2018_gistic","acc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"acc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","acc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"acc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","acc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"acc_tcga_pan_can_atlas_2018_log2CNA","acc_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"acc_tcga_pan_can_atlas_2018_mutations","acc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"acyc_fmi_2014_cna","acyc_fmi_2014"
"MUTATION_EXTENDED","MAF","Mutations","Comprehensive genomic profiling of 28 metastatic ACCs.",true,"acyc_fmi_2014_mutations","acyc_fmi_2014"
"MUTATION_EXTENDED","MAF","Mutations","WGS of 28 primary salivary ACCs",true,"acyc_mda_2015_mutations","acyc_mda_2015"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"acyc_mskcc_2013_cna","acyc_mskcc_2013"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 60 tumor/normal pairs.",true,"acyc_mskcc_2013_mutations","acyc_mskcc_2013"
"MUTATION_EXTENDED","MAF","Mutations","Whole exome sequencing of 24 ACCs.",true,"acyc_sanger_2013_mutations","acyc_sanger_2013"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 782 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"all_phase2_target_2018_pub_cna","all_phase2_target_2018_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA-Seq RPKM)","Expression levels for 26136 genes in 203 all cases (RNA-Seq RPKM).",false,"all_phase2_target_2018_pub_rna_seq_mrna","all_phase2_target_2018_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq RPKM)","mRNA z-Scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"all_phase2_target_2018_pub_rna_seq_mrna_median_Zscores","all_phase2_target_2018_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","mRNA expression levels (Affymetrix microarray)",false,"all_phase2_target_2018_pub_mrna","all_phase2_target_2018_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"all_phase2_target_2018_pub_mrna_median_Zscores","all_phase2_target_2018_pub"
"METHYLATION","CONTINUOUS","Methylation (hm27)","Methylation beta-values (hm27 assay). For genes with multiple methylation probes, the probe least correlated with expression is selected.",false,"all_phase2_target_2018_pub_methylation_hm27","all_phase2_target_2018_pub"
"MUTATION_EXTENDED","MAF","Somatic mutations","Somatic mutation status from whole genome or whole exome sequencing on 298 samples.",true,"all_phase2_target_2018_pub_mutations","all_phase2_target_2018_pub"
"MRNA_EXPRESSION","CONTINUOUS","microRNA expression","Expression levels for microRNAs.",false,"all_phase2_target_2018_pub_mirna","all_phase2_target_2018_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation status from exome sequencing in 44 samples.",true,"all_stjude_2013_mutations","all_stjude_2013"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole genome sequencing(WGS) of 22 infant MLL-rearranged acute lymphoblastic leukemia(MLL-R ALL) cases.",true,"all_stjude_2015_mutations","all_stjude_2015"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from WGS/WES.",true,"all_stjude_2016_mutations","all_stjude_2016"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"aml_target_2018_pub_cna","aml_target_2018_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA-Seq RPKM)","Expression levels for genes in TARGET-AML Discovery cases (RNA-Seq RPKM).",false,"aml_target_2018_pub_rna_seq_mrna","aml_target_2018_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA expression (microarray)","mRNA expression levels (Affymetrix microarray)",false,"aml_target_2018_pub_mrna_median_Zscores","aml_target_2018_pub"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation beta-values (HM27 platform). For genes with multiple methylation probes, the probe least correlated with expression is selected.",false,"aml_target_2018_pub_methylation_hm27","aml_target_2018_pub"
"MUTATION_EXTENDED","MAF","Somatic mutations","Somatic mutation status from whole genome or whole exome sequencing on 333 samples.",true,"aml_target_2018_pub_mutations","aml_target_2018_pub"
"MRNA_EXPRESSION","CONTINUOUS","microRNA expression","Expression levels for microRNAs.",false,"aml_target_2018_pub_mirna","aml_target_2018_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing analysis of 160 cancers arising in the periampullary region, 62 of these clearly arising from either the bile duct (n = 44) or the duodenum (n = 18) and 98 for which the epithelium of origin could not be clearly defined morphologically (AMPAC).",true,"ampca_bcm_2016_mutations","ampca_bcm_2016"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"angs_project_painter_2018_gistic","angs_project_painter_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from 103 WES samples.",true,"angs_project_painter_2018_mutations","angs_project_painter_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing of 22 phyllodes tumors.",true,"bfn_duke_nus_2015_mutations","bfn_duke_nus_2015"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from Exome and whole-genome sequencing of 99 bladder cancer samples.",true,"blca_bgi_mutations","blca_bgi"
"COPY_NUMBER_ALTERATION","DISCRETE","Copy Number Alterations","Copy number alterations",true,"blca_cornell_2016_cna","blca_cornell_2016"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values adjusted by ploidy and purity with CLONET","Log2 copy-number values for each gene adjusted by ploidy and purity with CLONET.",false,"blca_cornell_2016_log2CNA","blca_cornell_2016"
"MUTATION_EXTENDED","MAF","Mutations","WXS of 72 samples",true,"blca_cornell_2016_mutations","blca_cornell_2016"
"MUTATION_EXTENDED","MAF","Mutations","Mutation status from whole exome sequencing.",true,"blca_dfarber_mskcc_2014_mutations","blca_dfarber_mskcc_2014"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations (RAE)","Putative copy-number calls in 97 samples determined using standard RAE on Agilent 1M data. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"blca_mskcc_solit_2012_cna","blca_mskcc_solit_2012"
"MRNA_EXPRESSION","Z-SCORE","mRNA expression (Illumina)","mRNA expression values on 60 samples (Illumina microarrays)",false,"blca_mskcc_solit_2012_mrna","blca_mskcc_solit_2012"
"MRNA_EXPRESSION","Z-SCORE","mRNA expression z-scores (Illumina)","mRNA expression z-scores on 60 samples (Illumina microarrays)",true,"blca_mskcc_solit_2012_zscores","blca_mskcc_solit_2012"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation beta-values (Infinium HumanMethylation27 platform). For genes with multiple methylation probes, the probe most negatively correlated with expression is used.",false,"blca_mskcc_solit_2012_methylation_hm27","blca_mskcc_solit_2012"
"MUTATION_EXTENDED","MAF","Mutations","Mutation status of AKT1, AKT3, BRAF, CDKN2A, FGFR3, KRAS, PIK3CA, PIK3R1, PTEN, RB1, TP53, and TSC1 in 97 samples.",true,"blca_mskcc_solit_2012_mutations","blca_mskcc_solit_2012"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations (IMPACT)","Putative copy-number calls derived from IMPACT data. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"blca_mskcc_solit_2014_cna","blca_mskcc_solit_2014"
"COPY_NUMBER_ALTERATION","LOG-VALUE","Log2 copy-number values","Log2 copy-number values for each gene.",false,"blca_mskcc_solit_2014_log2CNA","blca_mskcc_solit_2014"
"MUTATION_EXTENDED","MAF","Mutations","Mutation status from targeted sequencing (IMPACT assay).",true,"blca_mskcc_solit_2014_mutations","blca_mskcc_solit_2014"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations","Copy Number data",true,"blca_nmibc_2017_cna","blca_nmibc_2017"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from next-gen sequencing.",true,"blca_nmibc_2017_mutations","blca_nmibc_2017"
"COPY_NUMBER_ALTERATION","DISCRETE","MSK-IMPACT Clinical Sequencing Cohort (MSKCC)  blca_mskcc_signet_ring  Putative copy-number alterations (IMPACT)","Putative copy-number calls derived from IMPACT data. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"blca_plasmacytoid_mskcc_2016_cna","blca_plasmacytoid_mskcc_2016"
"MUTATION_EXTENDED","MAF","Bladder Cancer, Plasmacytoid Variant (MSKCC, Nat Gen 2016)","Genomic profiling of plasmacytoid-variant (signet ring cell) tumors of the bladder, published set.",true,"blca_plasmacytoid_mskcc_2016_mutations","blca_plasmacytoid_mskcc_2016"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"blca_tcga_rppa","blca_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"blca_tcga_rppa_Zscores","blca_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 408 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"blca_tcga_gistic","blca_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 427 blca cases (RNA Seq V2 RSEM).",false,"blca_tcga_rna_seq_v2_mrna","blca_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"blca_tcga_rna_seq_v2_mrna_median_Zscores","blca_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"blca_tcga_linear_CNA","blca_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 434 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"blca_tcga_methylation_hm450","blca_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: BLCA/20160128/gdac.broadinstitute.org_BLCA.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"blca_tcga_mutations","blca_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"blca_tcga_pan_can_atlas_2018_gistic","blca_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"blca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","blca_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"blca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","blca_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"blca_tcga_pan_can_atlas_2018_log2CNA","blca_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"blca_tcga_pan_can_atlas_2018_mutations","blca_tcga_pan_can_atlas_2018"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"blca_tcga_pub_rppa","blca_tcga_pub"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"blca_tcga_pub_rppa_Zscores","blca_tcga_pub"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 182 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"blca_tcga_pub_gistic","blca_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 182 blca cases (RNA Seq V2 RSEM).",false,"blca_tcga_pub_rna_seq_v2_mrna","blca_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"blca_tcga_pub_rna_seq_mrna_median_Zscores","blca_tcga_pub"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"blca_tcga_pub_linear_CNA","blca_tcga_pub"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 201 cases. For genes with multiple methylation probes, the probe least correlated with expression.",false,"blca_tcga_pub_methylation_hm450","blca_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"blca_tcga_pub_mutations","blca_tcga_pub"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"blca_tcga_pub_2017_rppa","blca_tcga_pub_2017"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"blca_tcga_pub_2017_rppa_Zscores","blca_tcga_pub_2017"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 408 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"blca_tcga_pub_2017_gistic","blca_tcga_pub_2017"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 427 blca cases (RNA Seq V2 RSEM).",false,"blca_tcga_pub_2017_rna_seq_v2_mrna","blca_tcga_pub_2017"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"blca_tcga_pub_2017_rna_seq_v2_mrna_median_Zscores","blca_tcga_pub_2017"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"blca_tcga_pub_2017_linear_CNA","blca_tcga_pub_2017"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 434 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"blca_tcga_pub_2017_methylation_hm450","blca_tcga_pub_2017"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"blca_tcga_pub_2017_mutations","blca_tcga_pub_2017"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 65 tumor/normal pairs.",true,"brca_bccrc_mutations","brca_bccrc"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for the Breast Xenograft Evolution study.",false,"brca_bccrc_xenograft_2014_log2CNA","brca_bccrc_xenograft_2014"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data for the Breast Xenograft Evolution study.",true,"brca_bccrc_xenograft_2014_mutations","brca_bccrc_xenograft_2014"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 103 tumor/normal pairs.",true,"brca_broad_mutations","brca_broad"
"COPY_NUMBER_ALTERATION","DISCRETE","Copy number alterations","Copy number calls.Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"brca_igr_2015_cna","brca_igr_2015"
"MUTATION_EXTENDED","MAF","Whole exome sequencing","Whole exome sequencing of 213 metastatic breast samples.",true,"brca_igr_2015_mutations","brca_igr_2015"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"brca_mbcproject_wagle_2017_gistic","brca_mbcproject_wagle_2017"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from 103 WES samples.",true,"brca_mbcproject_wagle_2017_mutations","brca_mbcproject_wagle_2017"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from DNAcopy.","Copy-number alterations from DNA copy. Calls made after normal contamination correction and CNV removal using thresholds. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"brca_metabric_cna","brca_metabric"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression log intensity levels (Illumina Human v3 microarray)",false,"brca_metabric_mrna","brca_metabric"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (Illumina Human v3 microarray)","mRNA z-Scores  (Illumina Human v3 microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"brca_metabric_mrna_U133_Zscores","brca_metabric"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from targeted sequencing of 173 genes.",true,"brca_metabric_mutations","brca_metabric"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 100 tumor/normal pairs.",true,"brca_sanger_mutations","brca_sanger"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"brca_tcga_rppa","brca_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"brca_tcga_rppa_Zscores","brca_tcga"
"PROTEIN_LEVEL","CONTINUOUS","Protein levels (mass spectrometry by CPTAC)","Protein levels measured with mass spectrometry by the Clinical Proteomic Tumor Analysis Consortium (CPTAC)",false,"brca_tcga_protein_quantification","brca_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein level Z-scores (mass spectrometry by CPTAC)","Protein level Z-scores measured with mass spectrometry by the Clinical Proteomic Tumor Analysis Consortium (CPTAC)",true,"brca_tcga_protein_quantification_zscores","brca_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 1080 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"brca_tcga_gistic","brca_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 17155 genes in 590 brca cases (Agilent microarray).",false,"brca_tcga_mrna","brca_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"brca_tcga_mrna_median_Zscores","brca_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 1212 brca cases (RNA Seq V2 RSEM).",false,"brca_tcga_rna_seq_v2_mrna","brca_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"brca_tcga_rna_seq_v2_mrna_median_Zscores","brca_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"brca_tcga_linear_CNA","brca_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 885 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"brca_tcga_methylation_hm450","brca_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: BRCA/20160128/gdac.broadinstitute.org_BRCA.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"brca_tcga_mutations","brca_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"brca_tcga_pan_can_atlas_2018_gistic","brca_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","brca_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","brca_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"brca_tcga_pan_can_atlas_2018_log2CNA","brca_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"brca_tcga_pan_can_atlas_2018_mutations","brca_tcga_pan_can_atlas_2018"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"brca_tcga_pub_rppa","brca_tcga_pub"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"brca_tcga_pub_rppa_Zscores","brca_tcga_pub"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"brca_tcga_pub_gistic","brca_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels (Agilent microarray).",false,"brca_tcga_pub_mrna","brca_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"brca_tcga_pub_mrna_median_Zscores","brca_tcga_pub"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"brca_tcga_pub_linear_CNA","brca_tcga_pub"
